station_code,station_name,lat,lon,elevation_m,road_density,impervious_pct,dist_to_water_km
MS1104403120000032,(市)大鹏液化天然气有限公司深圳接收站,22.743004,114.361787,44.0,7.81,42.6,0.26
MS1104403100000051,(市)三洋湖路三洋湖新区小区,22.691578,114.348264,50.0,3.03,77.9,0.31
MS1104403090000099,(市)三联社区,22.672051,114.005717,86.0,8.17,54.5,0.56
MS1104403070000319,(市)吉榕路桥洞,22.6384,114.16689,83.0,1.61,48.5,0.82
MS1104403060000486,(市)固戍地铁站 A/F 出入口,22.603015,113.844135,1.0,2.04,96.6,0.52
MS110440307000018X,(市)如意路广发银行奥林支行,22.697841456213258,114.19931100734046,66.0,8.21,20.5,0.76
MS110440303000029X,(市)洪湖地铁站D出入口,22.56924,114.11792,11.0,9.74,60.1,0.22
MS1104403060000433,(市)金沙二路与民福路交叉口,22.731531574999998,113.800096525,6.0,5.51,87.3,0.22
MS1104403100000028,(市)坪山法院门口,22.70625,114.36288,50.0,5.64,84.2,0.67
MS1104403070000247,(市)长深高速四方埔社区,22.785453209312927,114.3238491191703,74.0,2.88,39.1,0.05
MS1104403040000634,(市)燃气集团股份有限公司梅林 LNG安全应急气化站,22.577257,114.104386,18.0,11.03,37.3,0.21
MS1104403040000577,(市)深南皇岗立交桥与皇岗路交汇处,22.552167188223326,114.06774281249497,29.0,8.71,47.1,0.55
MS1104403060000357,(市)前进二路,22.597482662679273,113.87435005513986,1.0,5.66,92.0,0.32
9281292019,(市)上村社区龙大桥底,22.801366,113.9042,11.0,3.48,74.2,0.33
9281292011,(市)外环路广深高速新桥立交,22.736379220337216,113.84591188570887,8.0,6.11,52.7,0.3
9281192003,(市)新木路新围仔村路口,22.6674177472887,114.13210195018992,62.0,1.44,74.5,1.89
9281192020,(市)工业路壹成中心段,22.648754971805,114.02570221318598,70.0,11.24,94.0,0.98
9281192007,(市)沙西小学至南岭万家乐段,22.52612,114.02916,15.0,6.13,84.2,0.55
9281292018,(市)根玉路东方大道交汇处,22.763216165633853,113.85149341983029,11.0,1.43,75.1,0.43
9281192011,(市)松元头,22.741674,114.235649,56.0,9.43,15.2,0.36
9281292021,(市)临海大道海关保税区,22.53399911521491,113.88871009435005,0.0,9.29,17.6,0.22
9281292020,(市)马山头社区上石家路通兴路交汇处,22.763999933333334,113.8915635138889,12.0,4.74,88.8,0.15
MS1104403100000032,(市)秀沙路比亚迪厂门前,22.767995359829058,114.39900074224022,30.0,4.39,39.2,0.81
MS110440309000007X,(市)银星科技园,22.7323,114.04215,57.0,7.48,65.4,0.84
MS1104403040000600,(市)侨香路香安社区,22.55158384619422,114.00624803762132,34.0,10.33,62.6,0.88
MS1104403070000323,(市)京南路,22.602818284523806,114.12130894517196,18.0,8.15,80.8,0.43
MS1104403110000616,(市)同观路与汇融路交叉口,22.734039598507852,113.91441943299901,27.0,14.0,77.6,0.8
MS110440311000064X,(市)光明区高级中学,22.77092,113.901398,12.0,2.86,79.6,0.48
MS1104403030000323,(市)晒布路与东门中路交汇处,22.551568716163253,114.1183832504732,11.0,6.79,91.4,0.7
MS1104403070000232,(市)园新路与乐园路交汇处,22.714932425,114.3001758,83.0,7.72,96.5,0.78
MS1104403110000620,(市)松白路松茂御城段,22.731110627923336,113.894856941127,27.0,6.33,81.5,0.04
MS1104403060000452,(市)宝源路固戍海滨公园,22.58668431255461,113.84584894450396,1.0,0.0,15.0,0.56
MS1104403060000505,(市)海天路地下隧道,22.549962987088094,113.87889692546018,1.0,9.67,54.3,0.06
MS1104403040000558,(市)信托花园,22.52878,114.04754,9.0,6.95,72.6,0.31
MS1104403100000047,(市)群代路金泰航科技,22.685306,114.34945,50.0,7.53,90.0,0.37
