lat,lon,elevation_m
22.74,114.32,71.0
22.77,114.32,27.0
22.8,114.32,74.0
22.83,114.32,60.0
22.86,114.32,51.0
22.44,114.35,0.0
22.47,114.35,0.0
22.5,114.35,0.0
22.53,114.35,0.0
22.56,114.35,0.0
22.59,114.35,0.0
22.62,114.35,70.0
22.65,114.35,308.0
22.68,114.35,50.0
22.71,114.35,50.0
22.74,114.35,44.0
22.77,114.35,31.0
22.8,114.35,129.0
22.83,114.35,76.0
22.86,114.35,93.0
22.44,114.38,0.0
22.47,114.38,0.0
22.5,114.38,0.0
22.53,114.38,0.0
22.56,114.38,0.0
22.59,114.38,0.0
22.62,114.38,148.0
22.65,114.38,196.0
22.68,114.38,111.0
22.71,114.38,31.0
22.74,114.38,41.0
22.77,114.38,37.0
22.8,114.38,95.0
22.83,114.38,33.0
22.86,114.38,356.0
22.44,114.41,0.0
22.47,114.41,0.0
22.5,114.41,0.0
22.53,114.41,0.0
22.56,114.41,0.0
22.59,114.41,0.0
22.62,114.41,137.0
22.65,114.41,112.0
22.68,114.41,360.0
22.71,114.41,31.0
22.74,114.41,44.0
22.77,114.41,30.0
22.8,114.41,21.0
22.83,114.41,33.0
22.86,114.41,37.0
22.44,114.44,0.0
22.47,114.44,0.0
22.5,114.44,0.0
22.53,114.44,0.0
22.56,114.44,0.0
22.59,114.44,3.0
22.62,114.44,264.0
22.65,114.44,66.0
22.68,114.44,249.0
22.71,114.44,45.0
22.74,114.44,24.0
22.77,114.44,23.0
22.8,114.44,19.0
22.83,114.44,37.0
22.86,114.44,24.0
22.44,114.47,0.0
22.47,114.47,0.0
22.5,114.47,0.0
22.53,114.47,0.0
22.56,114.47,172.0
22.59,114.47,34.0
22.62,114.47,302.0
22.65,114.47,388.0
22.68,114.47,421.0
22.71,114.47,48.0
22.74,114.47,38.0
22.77,114.47,32.0
22.8,114.47,26.0
22.83,114.47,18.0
22.86,114.47,19.0
22.44,114.5,0.0
22.47,114.5,179.0
22.5,114.5,311.0
22.53,114.5,47.0
22.56,114.5,0.0
22.59,114.5,7.0
22.62,114.5,257.0
22.65,114.5,0.0
22.68,114.5,36.0
22.71,114.5,365.0
22.74,114.5,26.0
22.77,114.5,37.0
22.8,114.5,27.0
22.83,114.5,35.0
22.86,114.5,41.0
22.44,114.53,0.0
22.47,114.53,0.0
22.5,114.53,199.0
