lat,lon,builtup_pct,n_px
22.4557,114.0456,3.3,2916
22.4557,114.0501,39.7,2916
22.4557,114.0546,72.6,2916
22.4557,114.0591,68.7,2916
22.4557,114.0636,23.7,2916
22.4557,114.0681,7.3,2916
22.4557,114.0726,0.0,2862
22.4557,114.0771,0.0,2916
22.4557,114.0816,0.0,2916
22.4557,114.0861,0.0,2916
22.4557,114.0906,0.0,2916
22.4557,114.095,11.7,2916
22.4557,114.0995,20.7,2916
22.4557,114.104,0.0,2916
22.4557,114.1085,0.1,2916
22.4557,114.113,0.0,2916
22.4557,114.1175,0.0,2862
22.4557,114.122,0.0,2916
22.4557,114.1265,0.0,2916
22.4557,114.131,0.0,2916
22.4557,114.1355,1.5,2916
22.4557,114.14,47.9,2916
22.4557,114.1445,34.2,2916
22.4557,114.1489,11.9,2916
22.4557,114.1534,27.7,2916
22.4557,114.1579,51.7,2916
22.4557,114.1624,56.2,2862
22.4557,114.1669,66.0,2916
22.4557,114.1714,70.7,2916
22.4557,114.1759,60.9,2916
22.4557,114.1804,90.7,2916
22.4557,114.1849,97.4,2916
22.4557,114.1894,93.2,2916
22.4557,114.1939,30.3,2916
22.4557,114.1984,1.0,2916
22.4557,114.2028,0.1,2916
22.4557,114.2073,17.7,2862
22.4557,114.2118,13.4,2916
22.4557,114.2163,12.3,2916
22.4557,114.2208,0.0,2916
22.4557,114.2253,0.0,2916
22.4557,114.2298,0.0,2916
22.4557,114.2343,0.0,2916
22.4557,114.2388,0.0,2916
22.4557,114.2433,1.8,2916
22.4557,114.2478,9.1,2916
22.4557,114.2522,0.1,2862
22.4557,114.2567,14.8,2916
